Date,Close,Volume,Open,High,Low
26-01-2018,42.5600,23351950.0000,42.1500,42.5600,41.9500
25-01-2018,41.9000,19067170.0000,42.2700,42.4700,41.8200
24-01-2018,42.1700,26636840.0000,42.2000,42.6850,42.0100
23-01-2018,42.1000,23029880.0000,41.5400,42.1300,41.5400
22-01-2018,41.6600,22841180.0000,41.2000,41.6600,41.0200
19-01-2018,41.2900,24469260.0000,41.2800,41.5200,41.1000
18-01-2018,41.3000,18237820.0000,41.2400,41.4800,41.0300
17-01-2018,41.2000,24161380.0000,40.8400,41.3200,40.7050
16-01-2018,40.5400,32817380.0000,40.9000,41.1600,40.3200
12-01-2018,40.8700,23712990.0000,40.2200,40.9300,40.0500
11-01-2018,40.1000,20358640.0000,40.1400,40.2100,39.7500
10-01-2018,39.9100,19469010.0000,39.6500,40.2400,39.6300
09-01-2018,39.6900,21447900.0000,39.7900,39.9600,39.5400
08-01-2018,39.9400,16531360.0000,39.5200,39.9600,39.3500
05-01-2018,39.5300,24495250.0000,39.5500,39.8800,39.3650
04-01-2018,38.9900,20698400.0000,39.0500,39.5400,38.9300
03-01-2018,39.1700,29293220.0000,38.7200,39.2850,38.5300
02-01-2018,38.8600,20121940.0000,38.6700,38.9500,38.4300
29-12-2018,38.3000,12556720.0000,38.4100,38.6200,38.3000
28-12-2018,38.5900,8784695.0000,38.7300,38.7300,38.4500
27-12-2018,38.5600,10529380.0000,38.5400,38.6500,38.4500
26-12-2018,38.4800,8178708.0000,38.5500,38.6800,38.3600
